;marca;preço
49;Fonte Carregador Para Notebook Cce Win Wm73c | 20v 3.25a 65w Pino 5.5 X 2.5 Mm;R$ 57,66
50;Capa Pasta Maleta Notebook 15.6, Akatsuki Nuvem;R$ 37,91
51;USADO: Notebook Acer Aspire 3 A514-53-339s,Prata,Intel Core I3,1005g1 - RAM 8GB, SSD 512GB,Tela 14 Polegadas, Windows 10 Recer ouro;R$ 2.749,00
52;"Notebook Asus Intel Core I3, 4GB, 256GB SSD, Tela 15.6"", Windons 11 - X515ja-br2750w";R$ 2.519,10
53;Capa Logo Recortado Macbook Air 13.6 Pol A2681 Cor:transparente;R$ 129,90
54;Bateria Para Notebook Lenovo G400s Part Number L12s4a02 | 2000 Mah;R$ 197,93
55;Carregador Fonte Notebook Positivo Cce Sti Asus Itautec Lenovo - 19v 3.42a;R$ 85,40
56;Fonte Carregador Para Asus Vivobook 15 X512fj 19v 2.37a As67, 110v/220v (bivolt);R$ 69,90
57;Case Para Notebook Até 15.6 Polegadas, Lenovo Urban Sleeve - Gx40z50942;R$ 141,55
58;Carregador Notebook Universal Kp-525 Knup;R$ 48,90
59;Fonte Carregador Para Acer Aspire 3 A315-21 A315-21-95kf 479 - Voltagem De Entrada;R$ 71,70
60;Fonte Carregador Para Acer Aspire E5-531g 19v 3.42a 65w 479 - Voltagem De Entrada;R$ 71,70
61;Bateria Para Notebook Positivo Unique S1990, 6 Células;R$ 188,45
62;Capa Glitter Séries para Macbook Air, 13.6 Pol, A2681 - Transparente;R$ 129,90
63;Notebook Vaio Fe14, Intel I3 1005g1, 8GB, SSD 128GB, Tela 14 Full HD, Windows 10 Pro;R$ 4.190,49
64;Fonte Carregador Para Positivo Premium S3040 19 3.42a 65w P8 - Preto - 110v/220v (bivolt);R$ 76,77
65;Notebook Ub431 14.1 Polegadas Intel Core I3 7020u 1 Tb Multi;R$ 3.052,24
66;Fonte Carregador Lenovo 320-15ikb 80yh 20v 2,25a 45w Cod94;R$ 106,90
67;Fonte Carregador Compativel Com Samsung X40 Np550xcj-xf2br 3.16a Sa-06;R$ 78,90
68;Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i5-10210U, NVIDIA GeForce MX330, 8GB, SSD 256GB, Windows 11, 15.6, Prata - 82BS000KBR;R$ ----
69;Bateria Bringit, Para Notebook, Lenovo Ideapad Z400 Touch, 4 Células;R$ 162,01
70;Apple Macbook Air 13,6” M2 8GB RAM;R$ 9.809,10
71;Fonte Carregador REPLACEMENT Para Asus Vivobook X541sa X541s X541uj 816;R$ 89,90
72;Cabo De Áudio Para Gravador De Cd/dvd;R$ 21,24
73;Notebook Samsung Book3 I5, 8GB, SSD 256GB, Tela 13.3 Full HD, Windows 11 Home, Grafite - Np730qfg-Kf2br;R$ 5.999,00
74;Notebook Acer,  A314-35-c7e8, Celeron 4GB, 128 W11h - Nx.awbal.008;R$ 2.079,00
75;Notebook Lenovo Ideapad 1i, Intel Core I5-1235u, 8GB, SSD 256GB, Intel Iris Xe, Tela 15.6 HD, Windows 11, Cinza - 82vy0003br;R$ 2.944,05
76;Bateria Para Dell Inspiron 5548 15-5547 5548 5445 Opd19 Trhff;R$ 315,93
77;Fonte Apple Macbook Pro 13 A1322, A1278, 2009, 2010, 2011, 2012;R$ 120,85
78;USADO: Notebook Dell Vostro 14-3468 Core I3 6006ug, 4GB RAM, SSD 120GB - Windows 10 Pro;R$ 1.999,00
79;Fonte Carregador Dell Inspiron N4020 N4030 N4050 N4110 La65ns2-01;R$ 68,90
80;USADO: Notebook Acer Nitro 5, Intel Core I7- 10750h, RAM 8GB, SSD 512GB, GTX 1650, Tela 17.3, Windows 11 - AN517-52-77KZ - Ouro, Recer;R$ 5.920,00
81;Fonte Carregador Para Dell Inspiron 14 5000 (5458) 19.5v 823, Voltagem De Entrada;R$ 98,89
82;Notebook, Asus X543ua-gq3430t, Tela 15.6, Intel I3, Ram 4Gb, Ssd 256Gb, Windows 10, Cinza;R$ 2.429,10
83;Fonte Carregador Para Lenovo Lnv L40 L4070 19v 3.42a 65w Plug P8 - 110v/220v (bivolt);R$ 76,77
84;Suporte Para Notebook Goldentec Sng17 Gt, Até 17, Com Cooler, 2 Portas USB;R$ 90,35
85;Fonte Carregador Acer Aspire A5, 19V, 3.42A, 65W, Bivolt - A515-51g-58Vh;R$ 71,70
86;Fonte Carregador Para Notebook Ibm Lenovo Z460 19v 3.42a 65w P8, Voltagem De Entrada;R$ 56,77
